ID,Experiencia del Encuestado,Tarea,Descripcion_Tarea,Proyecto en el que se RealizÃƒÂ³ la Tarea:,Complejidad,Tipo_Tarea,Fase_Tarea,Cantidad_Recursos,Carga_Trabajo_R1,Experiencia_R1,Carga_Trabajo_R2,Experiencia_R2,Carga_Trabajo_R3,Experiencia_R3,Experiencia_Equipo,Claridad_Requisitos,Tamaño_Tarea,Tiempo_Ejecucion
1,Senior,Integracion con proveedor de pagos online,Integracion de formulario seguro de metodo de pago y servicio de confirmacion de depositos de transaccion,Sistema de comercio electronico,3,Backend,Transición/Implementación,1,3,5,,,,,4,3,5,80
2,Mid-Level,Checkout para Cuenta Sueldo,"Crear una versión del flujo de checkout especÃ­fica para el programa Cuenta Sueldo. Los clientes de cuenta sueldo van a poder canjear sus productos segÃºn corresponda.
La principal diferencia con el flujo principal de compra, es la validación por DNI.",Webcheckout y Gateway,3,Backend,Transición/Implementación,2,2,5,2,3,,,4,3,8,106
3,Senior,Desarrollo de arquitectura mono-repo,Unificar varios proyectos basados en packages y workspace,RedSea,5,Arquitectura,Transición/Implementación,3,2,4,2,5,3,5,5,4,13,96
4,Mid-Level,Diseño de interfaz de usuario para el panel de administración,Crear la UI del panel de administración con React y Tailwind.,Sistema de Gestión Interna,4,Frontend,Construcción/Desarrollo,2,1,3,3,2,,,4,1,5,177
5,Mid-Level,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,5,Análisis,Elaboración/Requisitos,2,2,1,2,1,,,2,4,21,163
6,Mid-Level,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,5,Análisis,Elaboración/Requisitos,1,1,1,,,,,5,3,13,131
7,Mid-Level,Implementación de replicación de base de datos,Configurar un cluster de replicación en PostgreSQL.,Sistema de Inventario,5,Database,Mantenimiento,1,2,1,,,,,4,1,21,101
8,Mid-Level,Optimización de carga de imágenes,Implementar lazy loading y compresión de imágenes.,E-commerce,3,Frontend,Elaboración/Requisitos,2,2,5,2,1,,,3,5,21,59
9,Senior,Optimización de carga de imágenes,Implementar lazy loading y compresión de imágenes.,E-commerce,3,Frontend,Transición/Implementación,2,1,3,1,1,,,5,3,21,108
10,Junior,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,5,DevOps,Transición/Implementación,1,3,2,,,,,5,5,13,189
11,Senior,Pruebas de carga en API REST,Simular 1000+ usuarios concurrentes con JMeter.,Sistema de Reservas,2,Testing,Construcción/Desarrollo,3,2,3,3,1,1,2,4,4,1,130
12,Mid-Level,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,4,Análisis,Construcción/Desarrollo,2,3,3,2,4,,,1,2,3,97
13,Mid-Level,Elaboración de manual de usuario,Redactar documentación detallada para usuarios finales.,Portal de Clientes,5,Documentación,Transición/Implementación,1,2,3,,,,,2,3,3,155
14,Junior,Normalización de tablas en base de datos,Eliminar redundancias y mejorar eficiencia con tercera forma normal.,CRM Empresarial,1,Database,Elaboración/Requisitos,2,3,2,2,1,,,5,3,5,84
15,Senior,Definición de requisitos para nueva funcionalidad,Reunir necesidades de negocio y redactar historias de usuario.,CRM Empresarial,4,Análisis,Elaboración/Requisitos,1,3,5,,,,,5,2,21,96
16,Junior,Optimización de consultas SQL,Refactorizar consultas pesadas y agregar Ã­ndices.,Sistema ERP,2,Backend,Construcción/Desarrollo,2,2,5,3,1,,,3,4,2,191
17,Mid-Level,Elaboración de manual de usuario,Redactar documentación detallada para usuarios finales.,Portal de Clientes,4,Documentación,Inicio/Conceptualización,3,3,3,3,1,2,3,2,1,2,66
18,Junior,Creación de documentación de API,Generar documentación en Swagger para el backend.,Sistema de Gestión de Pedidos,1,Documentación,Elaboración/Requisitos,3,1,4,2,1,3,2,4,2,1,124
19,Junior,Automatización de pruebas para checkout,Escribir pruebas automatizadas con Selenium para el flujo de compra.,E-commerce,5,Testing,Transición/Implementación,1,1,4,,,,,5,3,3,65
20,Junior,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,2,Análisis,Elaboración/Requisitos,2,2,1,1,2,,,3,2,3,108
21,Mid-Level,Automatización de pruebas para checkout,Escribir pruebas automatizadas con Selenium para el flujo de compra.,E-commerce,2,Testing,Construcción/Desarrollo,1,2,4,,,,,5,1,8,84
22,Senior,Creación de documentación de API,Generar documentación en Swagger para el backend.,Sistema de Gestión de Pedidos,5,Documentación,Elaboración/Requisitos,1,1,5,,,,,5,4,1,128
23,Senior,Pruebas de carga en API REST,Simular 1000+ usuarios concurrentes con JMeter.,Sistema de Reservas,3,Testing,Elaboración/Requisitos,2,2,1,2,1,,,1,5,21,61
24,Senior,Automatización de pruebas para checkout,Escribir pruebas automatizadas con Selenium para el flujo de compra.,E-commerce,1,Testing,Mantenimiento,2,2,2,3,5,,,4,4,8,124
25,Senior,Implementación de autenticación con OAuth,Configurar inicio de sesión con Google y Facebook en la app.,Portal de Clientes,4,Frontend,Transición/Implementación,3,3,1,1,2,2,5,3,2,5,177
26,Junior,Despliegue en Kubernetes,Configurar y desplegar microservicios en Kubernetes.,Sistema de Facturación,5,DevOps,Mantenimiento,1,1,4,,,,,2,1,3,153
27,Senior,Creación de API para gestión de usuarios,Desarrollar endpoints REST para CRUD de usuarios.,Plataforma de Servicios,1,Backend,Elaboración/Requisitos,2,2,5,1,1,,,3,2,2,134
28,Senior,Normalización de tablas en base de datos,Eliminar redundancias y mejorar eficiencia con tercera forma normal.,CRM Empresarial,3,Database,Inicio/Conceptualización,3,2,4,1,1,2,2,5,1,1,152
29,Senior,Implementación de CI/CD con GitHub Actions,Automatizar despliegues con integración continua.,Plataforma de Servicios,2,DevOps,Transición/Implementación,3,2,5,1,5,1,5,2,2,8,116
30,Mid-Level,Implementación de microservicio de pagos,Desarrollar un microservicio en Node.js para procesar pagos.,Pasarela de Pagos,1,Backend,Transición/Implementación,3,1,4,3,3,1,3,4,2,13,199
31,Junior,Optimización de consultas SQL,Refactorizar consultas pesadas y agregar Ã­ndices.,Sistema ERP,2,Backend,Mantenimiento,1,2,5,,,,,4,1,8,109
32,Junior,Actualización de guÃ­as tÃ©cnicas,Actualizar la documentación interna de procedimientos.,Plataforma Interna,2,Documentación,Construcción/Desarrollo,2,1,5,2,4,,,1,5,3,102
33,Junior,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,3,Análisis,Construcción/Desarrollo,1,2,3,,,,,3,3,3,174
34,Senior,Optimización de consultas SQL,Refactorizar consultas pesadas y agregar Ã­ndices.,Sistema ERP,2,Backend,Inicio/Conceptualización,3,1,2,3,4,2,5,5,2,21,117
35,Mid-Level,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,5,DevOps,Transición/Implementación,3,3,5,1,4,2,4,4,4,3,153
36,Mid-Level,Normalización de tablas en base de datos,Eliminar redundancias y mejorar eficiencia con tercera forma normal.,CRM Empresarial,2,Database,Elaboración/Requisitos,3,2,2,3,4,1,5,1,3,1,53
37,Junior,Implementación de CI/CD con GitHub Actions,Automatizar despliegues con integración continua.,Plataforma de Servicios,2,DevOps,Transición/Implementación,1,3,5,,,,,1,1,2,86
38,Senior,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,1,Análisis,Construcción/Desarrollo,1,2,4,,,,,4,2,3,94
39,Mid-Level,Migración de base de datos a PostgreSQL,Convertir estructuras de MySQL a PostgreSQL y migrar datos.,Sistema de Facturación,1,Database,Transición/Implementación,2,1,1,2,5,,,3,5,1,176
40,Senior,Migración de base de datos a PostgreSQL,Convertir estructuras de MySQL a PostgreSQL y migrar datos.,Sistema de Facturación,4,Database,Elaboración/Requisitos,1,1,4,,,,,4,3,3,102
41,Mid-Level,Despliegue en Kubernetes,Configurar y desplegar microservicios en Kubernetes.,Sistema de Facturación,4,DevOps,Construcción/Desarrollo,1,3,4,,,,,4,4,8,59
42,Mid-Level,Despliegue en Kubernetes,Configurar y desplegar microservicios en Kubernetes.,Sistema de Facturación,3,DevOps,Mantenimiento,1,2,4,,,,,2,3,1,60
43,Senior,Creación de documentación de API,Generar documentación en Swagger para el backend.,Sistema de Gestión de Pedidos,5,Documentación,Elaboración/Requisitos,2,1,5,1,3,,,3,5,21,133
44,Senior,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,5,Análisis,Inicio/Conceptualización,1,1,1,,,,,1,3,13,72
45,Senior,Automatización de pruebas para checkout,Escribir pruebas automatizadas con Selenium para el flujo de compra.,E-commerce,4,Testing,Mantenimiento,2,2,4,2,2,,,4,2,1,120
46,Junior,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,5,Análisis,Construcción/Desarrollo,1,2,2,,,,,1,3,3,186
47,Senior,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,4,DevOps,Mantenimiento,2,1,3,2,1,,,5,5,3,167
48,Junior,Pruebas de carga en API REST,Simular 1000+ usuarios concurrentes con JMeter.,Sistema de Reservas,4,Testing,Transición/Implementación,2,1,5,1,2,,,3,3,1,134
49,Mid-Level,Test unitarios para módulo de facturación,Escribir pruebas unitarias con Jest para el módulo de facturación.,Sistema de Facturación,2,Testing,Transición/Implementación,1,2,1,,,,,3,4,5,171
50,Mid-Level,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,2,Análisis,Mantenimiento,1,2,1,,,,,1,2,21,60
51,Senior,Diseño de interfaz de usuario para el panel de administración,Crear la UI del panel de administración con React y Tailwind.,Sistema de Gestión Interna,5,Frontend,Inicio/Conceptualización,1,2,3,,,,,3,3,13,115
52,Junior,Diseño de interfaz de usuario para el panel de administración,Crear la UI del panel de administración con React y Tailwind.,Sistema de Gestión Interna,1,Frontend,Mantenimiento,2,2,2,3,4,,,3,3,21,52
53,Junior,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,1,Análisis,Construcción/Desarrollo,2,1,4,1,1,,,4,2,1,69
54,Senior,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,4,Análisis,Elaboración/Requisitos,1,1,3,,,,,2,5,5,172
55,Junior,Monitorización de servidores con Prometheus,Configurar Prometheus y Grafana para mÃ©tricas en tiempo real.,Sistema de Monitoreo,1,DevOps,Elaboración/Requisitos,2,1,1,3,3,,,4,5,5,105
56,Senior,Normalización de tablas en base de datos,Eliminar redundancias y mejorar eficiencia con tercera forma normal.,CRM Empresarial,4,Database,Transición/Implementación,3,2,3,1,2,2,4,5,5,1,167
57,Mid-Level,Despliegue en Kubernetes,Configurar y desplegar microservicios en Kubernetes.,Sistema de Facturación,1,DevOps,Elaboración/Requisitos,3,3,4,3,4,1,1,3,2,13,111
58,Senior,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,4,Análisis,Construcción/Desarrollo,1,1,3,,,,,3,5,2,71
59,Mid-Level,Despliegue en Kubernetes,Configurar y desplegar microservicios en Kubernetes.,Sistema de Facturación,5,DevOps,Mantenimiento,1,1,5,,,,,2,5,8,52
60,Senior,Creación de documentación de API,Generar documentación en Swagger para el backend.,Sistema de Gestión de Pedidos,5,Documentación,Transición/Implementación,2,2,1,1,1,,,2,1,1,135
61,Senior,Actualización de guÃ­as tÃ©cnicas,Actualizar la documentación interna de procedimientos.,Plataforma Interna,4,Documentación,Elaboración/Requisitos,3,1,3,2,5,3,2,3,1,8,115
62,Senior,Normalización de tablas en base de datos,Eliminar redundancias y mejorar eficiencia con tercera forma normal.,CRM Empresarial,2,Database,Inicio/Conceptualización,2,2,2,2,4,,,1,4,3,180
63,Mid-Level,Migración de base de datos a PostgreSQL,Convertir estructuras de MySQL a PostgreSQL y migrar datos.,Sistema de Facturación,5,Database,Transición/Implementación,3,2,2,1,1,3,2,2,5,3,67
64,Junior,Despliegue en Kubernetes,Configurar y desplegar microservicios en Kubernetes.,Sistema de Facturación,3,DevOps,Mantenimiento,3,2,3,1,4,2,2,4,2,8,63
65,Junior,Actualización de guÃ­as tÃ©cnicas,Actualizar la documentación interna de procedimientos.,Plataforma Interna,3,Documentación,Elaboración/Requisitos,1,3,5,,,,,4,4,1,73
66,Junior,Pruebas de carga en API REST,Simular 1000+ usuarios concurrentes con JMeter.,Sistema de Reservas,1,Testing,Mantenimiento,3,3,5,2,2,3,1,4,4,8,131
67,Mid-Level,Implementación de CI/CD con GitHub Actions,Automatizar despliegues con integración continua.,Plataforma de Servicios,1,DevOps,Transición/Implementación,1,1,3,,,,,5,2,5,162
68,Mid-Level,Despliegue en Kubernetes,Configurar y desplegar microservicios en Kubernetes.,Sistema de Facturación,2,DevOps,Transición/Implementación,3,2,5,1,2,2,5,3,5,21,194
69,Junior,Implementación de autenticación con OAuth,Configurar inicio de sesión con Google y Facebook en la app.,Portal de Clientes,3,Frontend,Construcción/Desarrollo,2,3,5,1,5,,,4,5,8,135
70,Senior,Creación de API para gestión de usuarios,Desarrollar endpoints REST para CRUD de usuarios.,Plataforma de Servicios,5,Backend,Mantenimiento,2,2,3,1,3,,,1,1,1,74
71,Senior,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,5,Análisis,Mantenimiento,2,2,5,1,5,,,4,3,1,101
72,Mid-Level,Elaboración de manual de usuario,Redactar documentación detallada para usuarios finales.,Portal de Clientes,2,Documentación,Mantenimiento,1,2,5,,,,,3,4,2,52
73,Mid-Level,Migración de base de datos a PostgreSQL,Convertir estructuras de MySQL a PostgreSQL y migrar datos.,Sistema de Facturación,1,Database,Mantenimiento,3,2,1,2,4,3,1,4,2,1,165
74,Mid-Level,Diseño de interfaz de usuario para el panel de administración,Crear la UI del panel de administración con React y Tailwind.,Sistema de Gestión Interna,4,Frontend,Construcción/Desarrollo,3,1,4,1,3,1,3,5,3,3,155
75,Senior,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,2,Análisis,Elaboración/Requisitos,2,2,2,3,3,,,5,1,3,151
76,Mid-Level,Migración de base de datos a PostgreSQL,Convertir estructuras de MySQL a PostgreSQL y migrar datos.,Sistema de Facturación,3,Database,Elaboración/Requisitos,2,1,2,1,3,,,1,2,2,134
77,Senior,Migración de base de datos a PostgreSQL,Convertir estructuras de MySQL a PostgreSQL y migrar datos.,Sistema de Facturación,2,Database,Construcción/Desarrollo,1,2,1,,,,,4,3,2,190
78,Senior,Diseño de interfaz de usuario para el panel de administración,Crear la UI del panel de administración con React y Tailwind.,Sistema de Gestión Interna,3,Frontend,Transición/Implementación,2,3,1,1,1,,,4,3,2,167
79,Senior,Estudio de viabilidad para migración a la nube,Analizar costos y beneficios de mover infraestructura a AWS.,Sistema de Gestión Interna,4,Análisis,Inicio/Conceptualización,2,3,5,3,5,,,2,3,8,121
80,Mid-Level,Migración de base de datos a PostgreSQL,Convertir estructuras de MySQL a PostgreSQL y migrar datos.,Sistema de Facturación,3,Database,Elaboración/Requisitos,3,1,1,1,3,3,5,3,5,1,99
81,Junior,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,3,Análisis,Elaboración/Requisitos,3,3,4,1,5,3,5,5,2,3,169
82,Senior,Análisis de performance de la aplicación,Evaluar tiempos de carga y optimizar código.,Plataforma de E-learning,4,Análisis,Transición/Implementación,3,3,5,2,3,2,2,3,3,1,110
83,Senior,Implementación de replicación de base de datos,Configurar un cluster de replicación en PostgreSQL.,Sistema de Inventario,5,Database,Inicio/Conceptualización,1,1,1,,,,,1,4,21,94
84,Senior,Optimización de carga de imágenes,Implementar lazy loading y compresión de imágenes.,E-commerce,3,Frontend,Mantenimiento,3,1,1,3,2,1,5,1,5,13,131
85,Senior,Migración de base de datos a PostgreSQL,Convertir estructuras de MySQL a PostgreSQL y migrar datos.,Sistema de Facturación,4,Database,Elaboración/Requisitos,3,1,5,3,4,1,3,4,1,5,60
86,Junior,Automatización de pruebas para checkout,Escribir pruebas automatizadas con Selenium para el flujo de compra.,E-commerce,3,Testing,Construcción/Desarrollo,3,3,5,3,4,1,1,3,4,2,171
87,Senior,Despliegue en Kubernetes,Configurar y desplegar microservicios en Kubernetes.,Sistema de Facturación,1,DevOps,Transición/Implementación,1,1,3,,,,,2,2,8,145
88,Senior,Optimización de carga de imágenes,Implementar lazy loading y compresión de imágenes.,E-commerce,1,Frontend,Mantenimiento,1,3,4,,,,,4,3,5,140
89,Senior,Diseño de interfaz de usuario para el panel de administración,Crear la UI del panel de administración con React y Tailwind.,Sistema de Gestión Interna,4,Frontend,Construcción/Desarrollo,1,1,3,,,,,4,3,2,55
90,Senior,Implementación de autenticación con OAuth,Configurar inicio de sesión con Google y Facebook en la app.,Portal de Clientes,1,Frontend,Inicio/Conceptualización,3,3,1,1,4,2,2,5,2,3,101
91,Junior,Diseño de interfaz de usuario para el panel de administración,Crear la UI del panel de administración con React y Tailwind.,Sistema de Gestión Interna,5,Frontend,Mantenimiento,3,2,2,3,4,2,4,1,1,2,70
92,Junior,Implementación de CI/CD con GitHub Actions,Automatizar despliegues con integración continua.,Plataforma de Servicios,4,DevOps,Construcción/Desarrollo,3,3,5,3,1,2,1,5,4,5,55
93,Senior,Implementación de microservicio de pagos,Desarrollar un microservicio en Node.js para procesar pagos.,Pasarela de Pagos,5,Backend,Mantenimiento,1,2,4,,,,,3,1,1,51
94,Senior,Implementación de CI/CD con GitHub Actions,Automatizar despliegues con integración continua.,Plataforma de Servicios,1,DevOps,Elaboración/Requisitos,3,3,4,1,4,2,2,2,1,2,195
95,Mid-Level,Optimización de consultas SQL,Refactorizar consultas pesadas y agregar Ã­ndices.,Sistema ERP,4,Backend,Transición/Implementación,2,3,2,3,4,,,2,1,8,65
96,Senior,Implementación de autenticación con OAuth,Configurar inicio de sesión con Google y Facebook en la app.,Portal de Clientes,5,Frontend,Construcción/Desarrollo,3,3,3,3,2,1,1,2,5,8,171
97,Junior,Test unitarios para módulo de facturación,Escribir pruebas unitarias con Jest para el módulo de facturación.,Sistema de Facturación,3,Testing,Transición/Implementación,2,3,3,3,2,,,2,3,1,189
98,Mid-Level,Creación de API para gestión de usuarios,Desarrollar endpoints REST para CRUD de usuarios.,Plataforma de Servicios,5,Backend,Inicio/Conceptualización,3,1,2,1,3,1,4,4,3,1,122
